"Date","Price","Open","High","Low","Vol.","Change %"
"06/28/2021","112.24","112.93","113.05","111.44","4.55M","-0.71%"
"06/25/2021","113.04","112.75","113.22","112.22","12.17M","0.94%"
"06/24/2021","111.99","111.78","112.91","111.78","3.84M","0.39%"
"06/23/2021","111.56","111.28","111.97","111.14","3.55M","-0.26%"
"06/22/2021","111.85","111.07","112.26","110.60","3.58M","0.79%"
"06/21/2021","110.97","110.00","111.37","109.68","5.63M","1.16%"
"06/18/2021","109.70","110.74","110.75","109.26","7.02M","-1.52%"
"06/17/2021","111.39","111.00","111.94","110.71","4.01M","0.03%"
"06/16/2021","111.36","112.42","112.57","110.20","4.82M","-0.47%"
"06/15/2021","111.89","112.46","112.50","111.56","3.49M","-0.50%"
"06/14/2021","112.45","112.78","113.22","111.50","4.22M","-0.10%"
"06/11/2021","112.56","112.28","112.83","112.18","3.23M","0.31%"
"06/10/2021","112.21","111.80","112.43","111.44","3.83M","0.74%"
"06/09/2021","111.39","111.74","112.19","111.33","3.67M","-0.12%"
"06/08/2021","111.52","111.38","111.99","110.86","4.67M","0.17%"
"06/07/2021","111.33","111.98","112.28","110.99","4.01M","-0.59%"
"06/04/2021","111.99","111.62","112.07","111.05","4.48M","0.78%"
"06/03/2021","111.12","112.01","112.24","110.15","5.72M","-1.66%"
"06/02/2021","113.00","113.71","113.71","112.75","5.04M","-0.30%"
"06/01/2021","113.34","114.56","114.62","113.10","4.31M","-0.47%"
"05/28/2021","113.88","114.35","114.35","113.05","4.24M","0.33%"
"05/27/2021","113.51","113.47","114.09","112.75","7.38M","0.58%"
"05/26/2021","112.85","113.29","113.87","112.63","3.84M","0.20%"
"05/25/2021","112.63","112.92","113.15","112.18","5.39M","0.10%"
"05/24/2021","112.52","111.80","113.03","111.52","5.44M","1.44%"
"05/21/2021","110.92","111.63","112.22","110.57","5.15M","-0.44%"
"05/20/2021","111.41","109.98","111.69","109.87","5.35M","1.59%"
"05/19/2021","109.67","109.60","109.94","108.88","6.00M","-1.26%"
"05/18/2021","111.07","111.37","112.21","111.01","5.18M","0.08%"
"05/17/2021","110.98","111.22","111.27","109.83","4.52M","-0.20%"
"05/14/2021","111.20","111.01","111.59","110.25","6.84M","0.64%"
"05/13/2021","110.49","110.16","111.18","109.15","8.00M","0.64%"
"05/12/2021","109.79","111.87","112.39","109.56","7.97M","-3.31%"
"05/11/2021","113.55","113.32","113.69","112.17","7.78M","-0.66%"
"05/10/2021","114.30","114.57","116.08","114.21","5.76M","-0.03%"
"05/07/2021","114.34","115.11","115.84","114.24","4.87M","-0.35%"
"05/06/2021","114.74","113.65","114.81","113.10","4.11M","1.11%"
"05/05/2021","113.48","114.21","114.88","113.16","4.68M","-0.55%"
"05/04/2021","114.11","115.15","115.40","113.54","6.27M","-1.39%"
"05/03/2021","115.72","115.18","116.74","115.13","5.05M","1.07%"
"04/30/2021","114.49","114.00","114.95","113.49","6.48M","-0.12%"
"04/29/2021","114.63","113.21","115.15","112.76","8.94M","1.98%"
"04/28/2021","112.40","113.44","114.15","111.61","14.79M","-3.23%"
"04/27/2021","116.15","115.67","116.39","115.27","7.26M","0.20%"
"04/26/2021","115.92","116.95","117.25","115.06","5.92M","-1.40%"
"04/23/2021","117.56","116.02","117.98","115.84","4.56M","1.41%"
"04/22/2021","115.92","116.87","116.88","115.22","5.75M","-0.70%"
"04/21/2021","116.74","116.09","117.26","115.86","4.40M","0.40%"
"04/20/2021","116.27","116.96","117.26","115.35","5.66M","-1.13%"
"04/19/2021","117.60","118.17","118.98","117.04","4.89M","-0.63%"
"04/16/2021","118.34","117.82","118.50","116.94","5.78M","1.44%"
"04/15/2021","116.66","115.10","116.89","114.78","5.08M","1.30%"
"04/14/2021","115.16","115.22","116.24","114.72","3.99M","-0.17%"
"04/13/2021","115.36","113.78","115.60","113.68","4.61M","1.36%"
"04/12/2021","113.81","113.02","113.89","112.77","4.71M","0.56%"
"04/09/2021","113.18","112.91","113.27","111.97","4.11M","0.12%"
