,date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
3124627,2020/12/06 00:00:00+00,2020,12,6,port812,New Orleans,United States,USA,1,6,0,0,6,7,13,0.0,33340.1436236876,0.0,0.0,1028.84758708864,33340.1436236876,34368.9912107762,6808.1622050226,71371.4587702905,0.0,0.0,59655.4110763415,78179.6209753131,137835.032051655,3124628
3124632,2020/12/07 00:00:00+00,2020,12,7,port812,New Orleans,United States,USA,1,4,1,0,4,6,10,0.0,6220.68853841591,0.0,0.0,34275.6191114878,6220.68853841591,40496.3076499037,5412.69692114684,81955.050934196,446.741158769291,0.0,3527.83770178549,87814.4890141121,91342.3267158976,3124633
3124637,2020/12/08 00:00:00+00,2020,12,8,port812,New Orleans,United States,USA,1,6,2,0,4,9,13,938.25459252132,0.0,10950.3129959379,0.0,1965.29885499583,11888.5675884592,13853.866443455,0.0,120730.331460463,13468.0700910952,0.0,22938.1059979277,134198.401551558,157136.507549485,3124638
3124642,2020/12/09 00:00:00+00,2020,12,9,port812,New Orleans,United States,USA,2,6,2,0,4,10,14,5706.45682463302,569.255761965069,0.0,0.0,13504.3982064112,6275.71258659809,19780.1107930093,875.103242557787,53727.4506710972,4523.67772934966,0.0,7853.1397085243,59126.2316430047,66979.371351529,3124643
3124646,2020/12/10 00:00:00+00,2020,12,10,port812,New Orleans,United States,USA,2,7,1,0,3,10,13,859.482982990805,0.0,0.0,0.0,0.0,859.482982990805,859.482982990805,8247.10580753868,166326.797037736,24248.6405443494,0.0,9683.74133490565,198822.543389624,208506.28472453,3124647
3124651,2020/12/11 00:00:00+00,2020,12,11,port812,New Orleans,United States,USA,2,9,0,0,4,11,15,0.0,43792.0292586813,0.0,0.0,68298.2285559268,43792.0292586813,112090.257814608,2881.42392531731,103347.677846381,0.0,0.0,2795.6344568658,106229.101771698,109024.736228564,3124652
3124656,2020/12/12 00:00:00+00,2020,12,12,port812,New Orleans,United States,USA,2,6,2,0,3,10,13,14884.6680843961,29536.9434740537,2186.8249548318,0.0,0.0,46608.4365132817,46608.4365132817,3372.55336396151,34989.714903238,468.587485503966,0.0,31441.5995564101,38830.8557527034,70272.4553091135,3124657
3124661,2020/12/13 00:00:00+00,2020,12,13,port812,New Orleans,United States,USA,0,9,1,0,3,10,13,0.0,0.0,476.673650911573,0.0,1386.70204386178,476.673650911573,1863.37569477335,0.0,168409.230284538,0.0,0.0,3519.91242600296,168409.230284538,171929.142710541,3124662
3124666,2020/12/14 00:00:00+00,2020,12,14,port812,New Orleans,United States,USA,2,8,1,0,5,11,16,2026.85722073511,7868.05018217708,4508.43048228825,0.0,0.0,14403.3378852004,14403.3378852004,10220.9496516105,155351.858265409,0.0,0.0,23398.0118571104,165572.80791702,188970.81977413,3124667
3124671,2020/12/15 00:00:00+00,2020,12,15,port812,New Orleans,United States,USA,2,6,0,0,2,8,10,0.0,5048.85615926987,0.0,0.0,7392.62303879019,5048.85615926987,12441.4791980601,4311.91871004661,112102.181474647,0.0,0.0,5540.85496169673,116414.100184694,121954.95514639,3124672
3124681,2020/12/16 00:00:00+00,2020,12,16,port812,New Orleans,United States,USA,3,4,0,0,8,7,15,745.964375822587,35247.2261601101,0.0,0.0,62070.3231156727,35993.1905359327,98063.5136516054,1807.2331087552,26448.9140959858,0.0,0.0,74974.4049733542,28256.147204741,103230.552178095,3124682
3124686,2020/12/17 00:00:00+00,2020,12,17,port812,New Orleans,United States,USA,1,5,1,0,3,7,10,0.0,11946.7980984402,0.0,0.0,3138.05522792052,11946.7980984402,15084.8533263608,2148.91765618464,53470.4447978602,14052.5501219816,0.0,2841.49531992725,69671.9125760265,72513.4078959538,3124687
